GKZ,Gebietsname,"Wahl-
berechtigte",Stimmen,Unnamed: 4,Unnamed: 5,Dr. Michael Brunner,%,Gerald Grosz,%.1,Dr. Walter Rosenkranz,%.2,Heinrich Staudinger,%.3,Dr. Alexander Van der Bellen,%.4,Dr. Tassilo Wallentin,%.5,Dr. Dominik Wlazny,%.6
,,,Abgegeb.,Ungültige,Gültige,,,,,,,,,,,,,,
G10322,Zillingtal,776.0,526,19,507,13.0,2.564102564102564,30.0,5.9171597633136095,83.0,16.370808678500985,13.0,2.564102564102564,250.0,49.30966469428008,66.0,13.017751479289942,52.0,10.256410256410255
G10323,Zagersdorf,870.0,564,23,541,12.0,2.2181146025878005,24.0,4.436229205175601,74.0,13.67837338262477,4.0,0.7393715341959335,318.0,58.78003696857671,52.0,9.611829944547134,57.0,10.536044362292053
G10399,Wahlkarten - Eisenstadt - Umgebung,0.0,3061,70,2991,39.0,1.3039117352056169,158.0,5.2825142092945505,326.0,10.899364760949515,34.0,1.1367435640254095,1867.0,62.420595118689405,280.0,9.361417586091608,287.0,9.595453025743899
G10400,Güssing,20934.0,14800,542,14258,251.0,1.7604152054986673,878.0,6.157946416047132,2606.0,18.27745826904194,152.0,1.0660681722541732,7664.0,53.75227942207883,1681.0,11.789872352363586,1026.0,7.195960162715669
G10401,Bocksdorf,684.0,470,21,449,4.0,0.8908685968819599,25.0,5.56792873051225,118.0,26.280623608017816,5.0,1.1135857461024499,217.0,48.329621380846326,45.0,10.022271714922049,35.0,7.795100222717149
G10402,Burgauberg-Neudauberg,1104.0,695,30,665,21.0,3.1578947368421053,54.0,8.1203007518797,138.0,20.75187969924812,5.0,0.7518796992481203,321.0,48.27067669172933,80.0,12.030075187969924,46.0,6.917293233082707
G10403,Eberau,712.0,455,20,435,8.0,1.839080459770115,26.0,5.977011494252873,65.0,14.942528735632186,3.0,0.6896551724137931,250.0,57.47126436781609,64.0,14.71264367816092,19.0,4.3678160919540225
G10404,Gerersdorf-Sulz,840.0,530,21,509,5.0,0.9823182711198428,26.0,5.1080550098231825,90.0,17.68172888015717,5.0,0.9823182711198428,303.0,59.52848722986247,46.0,9.037328094302556,34.0,6.679764243614931
G10405,Güssing,2858.0,1619,46,1573,16.0,1.0171646535282899,86.0,5.467260012714558,284.0,18.054672600127144,17.0,1.080737444373808,882.0,56.071201525746986,192.0,12.205975842339479,96.0,6.102987921169739
G10406,Güttenbach,709.0,444,18,426,4.0,0.9389671361502347,12.0,2.8169014084507045,53.0,12.44131455399061,4.0,0.9389671361502347,269.0,63.14553990610329,47.0,11.032863849765258,37.0,8.685446009389672
G10407,Heiligenbrunn,629.0,366,9,357,4.0,1.1204481792717087,24.0,6.722689075630252,77.0,21.568627450980394,3.0,0.8403361344537815,198.0,55.46218487394958,35.0,9.803921568627452,16.0,4.481792717086835
